Track ID,Track name,Artist name,Popularity score,Release year,Genre
07ObLu6AWHkFTqFqAPn60q,I'm Never Gonna Say Goodbye,Wayne Newton,23,2007,New Releases
0dD82POv7QGJEfLfFQFHUT,it is what it is,Abe Parker,62,2024,New Releases
50YQbTyU2Rju5OnnDLewTl,Message to the hood,Yuno Miles,16,2021,New Releases
03bOA3BAjZiqJOGyFmWYFz,Friday,The Chainsmokers,64,2024,New Releases
44o432tFcpotAxuDb09E7W,A New Kind of Assassin,James Ray & The Performance,14,2021,New Releases
2GeK971PzUJqSJc7mFVIMI,Anabelle,Shaboozey,56,2024,New Releases
72QWAGZwCKRgrjKTPkXIID,my new releases,Catbreath?,9,2023,New Releases
1lZkGr8MRb1tTsSbpV7zO5,Anxiety,G-Eazy,60,2024,New Releases
2PyXqwD49Q9Xnu3IsDPQPl,Skyfire,Shogun,30,2011,New Releases
3FJapheyNIZg3W7bt1qpOa,Anabelle,Shaboozey,54,2024,New Releases
0VnlSP1ViYmd2ZKaAPlt5V,new year theme 2,corn wave,14,2019,New Releases
3qCCQas6tIP15Yjgu3gl9S,All My Life,Tiësto,71,2024,New Releases
3YHOAWTC3Pok20zPLWlFJG,Lost For Words - Radio Edit,Giuseppe Ottaviani,25,2012,New Releases
64RZNkFqMF44Ql8dOfesgr,Feels Right (I Love It),Flo Rida,60,2024,New Releases
19eoRTRf0l8vDK7ROCfGko,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,9,2016,New Releases
6FEV8FeTA9kKU2sLTSJw7V,Vegas,Shaboozey,58,2024,New Releases
6EsVEPkRiIkcFsELZ0239q,ดีอย่างไร,T Jetset’er,27,2009,New Releases
6ea2h0fftulhGhWEODoU2V,"""Roses""",Jaden,59,2024,New Releases
3FZ7pRHmTda6FqoTIpo4dN,New Transients,Rosentwig,4,2018,New Releases
7rOk84mV0kJ0H9wsBDDDUY,Change Your Mind,Knox,55,2024,New Releases
1s7Q8aDLaireoASKNEeJ1T,"See You Again (From ""Fast & Furious 7"")",The New Releases,6,2016,New Releases
5jmm86CXZhUwTGtydyIkfF,numb,Abe Parker,57,2024,New Releases
5SHu8JyS4YJFNVJ6MGaTja,1 2 3 4 5 I love you,The Bottom Blues,36,2010,New Releases
3nQGmb3jjF4OWQIymxx8c2,Worldwide Revival,Newsboys,50,2024,New Releases
4fpwYavktFK31XJXEvpbs5,Kompa MMS,Richie and Gracia Delva,4,2012,New Releases
5x4JxwFNs0f897CvwPjEZb,New Direction,Solitudes,54,2024,New Releases
5pxlpLk7laSwucCCBBCvhT,Zanmi,Nickenson Prud'Homme,2,2012,New Releases
67NdAOAn0EzvyrMYduzzZm,REBEL,Anne Wilson,49,2024,New Releases
1rRSQIfUx5FX8eOvP7eRT4,Popular New Releases,New Releases,3,2023,New Releases
1ChWLfZppNHE101YA0QFgT,Rise Up,Selah,45,2024,New Releases
0Bfi8JHZTfe5p6HYrk2nso,2023 New Music,New Releases,3,2023,New Releases
6VDuCryADxIMCNLCfyovtO,Yellow - Spotify Singles,jxdn,51,2024,New Releases
2ncR5x1L3TNLsRLzRYwbi7,New Music Albums,New Releases,2,2023,New Releases
5eCi0WNi38vEKZeXr5kEAs,NERVOUS,Daughtry,46,2024,New Releases
2DyiJ6khVHSeuaCrb2Z9oQ,Toys - Radio Mix,Giuseppe Ottaviani,11,2012,New Releases
1y6Kt9mAwfhclMQwpPEPCL,Active,Bryce Savage,49,2024,New Releases
0YCyVwfMLhvRNr2WoQJ2MH,Fight The Fire - Original Mix Edit,Andy Moor,7,2011,New Releases
0ohSJgHGItbcNmirqBGdHM,New Devil,Attila,49,2024,New Releases
5dFWn3nRNbOmhTiERQpEWQ,D# Fat - Original Mix,Armin van Buuren,3,2013,New Releases
3TyXxUT1D3EiATkn4g5vJ6,Deeper Waters,Jeremy Camp,48,2024,New Releases
2CHvjyIZ8khtm2ipjz0vmq,Use Somebody - Armin van Buuren Rework,Laura Jansen,8,2011,New Releases
456QkXYfOSZrxBjZzfp3dk,New Madonna,Cash Cash,42,2024,New Releases
6VKwfejHnDBQW10bbd2mIZ,Background Chill Music Beat,New Releases,4,2023,New Releases
6Se74aLQWLjOsVvg5GRQY7,Somebody New,charlieonnafriday,47,2024,New Releases
37Ibq8pysZqGCmtcLDjcX0,Calming Hip Hop Lofi,New Releases,1,2023,New Releases
3U2fxzzmfG6IubKrvXbWr8,Just My Type,Palaye Royale,53,2024,New Releases
2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,Lana Del Rey,66,2012,Summer
1UVg2llYjfc1sil4idS8NB,Shiesty Summer,Pooh Shiesty,66,2019,Summer
1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,Lana Del Rey,74,2012,Summer
20XdEFyaUR9C7aDIdq2OAd,Summertime,DJ Jazzy Jeff & The Fresh Prince,63,1991,Summer
3LfHBTYZBTqmz43tvVXJBd,Deep,Summer Walker,73,2018,Summer
2Fyjjpg03fn7n5cj0Qm380,Karma,Summer Walker,70,2018,Summer
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,85,2014,Summer
0ZDwhNFZnPx9EIPCcwGUHC,Hell N Back (feat. Summer Walker),Bakar,78,2023,Summer
4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Childish Gambino,61,2018,Summer
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,82,1984,Summer
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,Jordana,77,2021,Summer
0t2q2c43AATY4z1GI883Be,Summer 2020,Jhené Aiko,50,2020,Summer
4cKtn8Shw999egpwBmWQmp,Summertime Sadness,Lana Del Rey,47,2012,Summer
08SB2OtZkaliju77WYEKxk,No Love (with SZA),Summer Walker,73,2021,Summer
4HG1YiGBseVKzjyKcmAJen,Summer Games,Drake,56,2018,Summer
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,74,2013,Summer
3LdGRWewvpcaZrkOpc70fP,Shame,Summer Walker,57,2018,Summer
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,Seals and Crofts,62,1977,Summer
3NxWJWftvkstyxvb1pZlFo,Teeth,5 Seconds of Summer,75,2020,Summer
77ZnKnZvitYTwGNWshn53V,Summer Time High Time,Cuco,55,2018,Summer
2AVkArcfALVk2X8sfPRzya,Summer Nights - From “Grease”,John Travolta,69,1978,Summer
7aVKQJZwdqyEPkvKSyEuxj,Baby,Summer Walker,65,2018,Summer
4GQaGrECkozsbbjFEkTYL7,Summertime,The Green,47,2023,Summer
2gNjmvuQiEd2z9SqyYi8HH,Summertime,Ella Fitzgerald,62,1958,Summer
50Emgupm363qIrYBe20FR3,Quittin' Time,Zach Bryan,70,2022,Summer
7pQAGG3OhXuYZrEh8nUCbi,Me,Summer Walker,50,2019,Summer
3hV8Gvijx6cVv339o3uCSK,Summertime Blues,Alan Jackson,55,1989,Summer
11xeawurZXUDqRPxCasaDt,Jamie (feat. Charles Wesley Godwin),Zach Bryan,67,2022,Summer
5KZVbtDMFcurkynWsncKtr,Summertime,FLO,55,2022,Summer
3cE5ltZFHmBpiS77itKaOM,Summertime,Kenny Chesney,65,2005,Summer
3W2nknW1nTuuxUSyFCUCS8,John Redcorn,SiR,68,2019,Summer
4NhTEjDsRmEkvcWY1MRF9X,Pull Up,Summer Walker,46,2023,Summer
7AzFID6u1b3zIWbd9pb8Dk,Summer in the City - Remastered,The Lovin' Spoonful,64,1966,Summer
4lbBiqC2alVR4ooruZSe0o,Summer's Back,Alok,66,2024,Summer
0LqCvXVNvcnkq78sCQsoO0,summer,keshi,54,2019,Summer
2uMqG8w8oi09fB2YA2QLOm,Summer Madness,Kool & The Gang,57,1974,Summer
3SEZEyvEALlomED5xFeqOs,summer depression,girl in red,63,2018,Summer
