Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
44MHQm2WIvsAXg14WKpCQp,Made to Fall in Love,Daniel Caesar,51,2020,Made For You,0.843,0.478,7,-8.969,1,0.0474,0.111,0.216,0.09,0.539,144.002,4
0h31TZMlv0ZLc5yppKngwk,Memories Are Made Of,Luke Combs,51,2018,Made For You,0.694,0.718,2,-6.188,1,0.0322,0.0159,1.72e-06,0.287,0.368,121.074,4
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z,77,2004,Made For You,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,4
3Wwcd5hYKCLpocRJfZVdbQ,Made For Heaven,CAIN,47,2023,Made For You,0.554,0.829,2,-5.501,1,0.0388,0.0251,0.0,0.0782,0.35,136.052,4
15gkmegUbWk1FcRPjX8gq1,My Mistakes Were Made For You,The Last Shadow Puppets,57,2008,Made For You,0.302,0.914,2,-4.724,0,0.0516,0.0344,4.05e-06,0.305,0.758,97.953,4
3rPtS4nfpy7PsARctAWpzd,Best Friend,Rex Orange County,73,2017,Made For You,0.576,0.714,6,-5.247,1,0.0595,0.395,0.0,0.115,0.321,144.981,4
4itBNnY9X9CdLN9ixc4OtT,Made For Me - Sped Up Version,Muni Long,43,2024,Made For You,0.762,0.5,0,-6.848,1,0.0312,0.092,9.12e-06,0.0672,0.145,128.989,4
091d5SFZ7xtM8QV6LLgnBr,I Was Made For Lovin’ You - from The Fall Guy [Orchestral Version],YUNGBLUD,51,2024,Made For You,0.426,0.541,2,-9.448,0,0.033,0.00232,0.000952,0.0734,0.112,125.066,4
7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,71,2005,Made For You,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,4
7bt22SKbJxOy16ZJK539EW,Made For Me (V-Mix),Vedo,0,2024,Made For You,0.735,0.541,7,-6.356,0,0.0529,0.176,0.0,0.143,0.0635,119.742,4
0343bYQtSfznf6v90jRLRK,Forever Young,John De Sohn,51,2019,Made For You,0.653,0.621,8,-6.045,1,0.0308,0.178,0.0,0.0952,0.584,121.98,4
